,Postal Code,Neighborhood,Venue,Venue Latitude,Venue Longitude,Venue Category
0,N6B,London Central,99,99,99,99
1,N6C,East Highland / North White Oaks / North Westminster,52,52,52,52
2,N6A,UWO,51,51,51,51
3,N5Y,West Huron Heights / Carling,36,36,36,36
4,N6G,Sunningdale / West Masonville / Medway / NE Hyde Park / East Fox Hollow,24,24,24,24
5,N6K,Riverbend / Woodhull / North Sharon Creek / Byron / West Westmount,24,24,24,24
6,N5Z,Glen Cairn,18,18,18,18
7,N6J,Southcrest / East Westmount / West Highland,11,11,11,11
8,N6E,South White Oaks / Central Westminster / East Longwoods / West Brockley,8,8,8,8
9,N5V,YXU / North and East Argyle / East Huron Heights,5,5,5,5
10,N5W,SW Argyle / Hamilton Road,5,5,5,5
11,N5X,Fanshawe / Stoneybrook / Stoney Creek / Uplands / East Masonville,5,5,5,5
12,N6H,Central Hyde Park / Oakridge,2,2,2,2
13,N6L,East Tempo,1,1,1,1
14,N6N,South Highbury / Glanworth / East Brockley / SE Westminster,1,1,1,1
